price,traffic,target
81.91648388447706,170,96.44641508236496
55.11027518016419,156,119.71108853999507
88.6878335929106,140,77.48259249613602
75.7894423247491,184,120.4217852147577
27.534187831011963,147,153.0236685880017
98.04978813094047,141,59.79576948518873
80.89117615922824,160,71.593305723686
82.8851444221563,164,78.16464793500818
30.24909061404367,139,137.53857124195883
56.03087503164537,162,120.23859489279772
49.663841938606495,146,114.03614160005893
94.14119910788814,145,51.54279053298495
71.50920960645317,138,74.95124011521261
85.82092906166639,149,54.18843539791207
55.47313590618649,155,112.95413816152929
38.17909774278215,146,119.62570544211079
64.36678296126678,140,87.31717006975973
25.105380488334028,160,150.91512841049533
86.21049375940656,149,57.950811855317625
70.53315192976518,137,94.73749050747921
80.64701920682991,142,89.69437063262717
48.36207745038947,169,124.1612287522842
97.65584195159227,141,52.76002615199007
91.44968970577581,141,74.26229977555093
82.27067976590095,176,82.23112259484371
35.571096628157406,139,126.21674412786834
57.33768029816274,146,122.43772075508454
23.504301262978302,136,152.69399867636366
32.34315936540383,161,150.54156153244185
74.64391625939638,171,110.36489755622496
79.58097247262538,164,64.48106302459595
97.4007785947368,143,80.27470705496937
46.06602865105216,160,132.48715067121
49.636776482789514,158,133.706968103767
57.564464902064636,166,121.48712707764074
35.157708726742854,159,141.82738212487052
30.39372042683773,159,144.9142223028379
58.0563940980747,133,107.49955683028116
38.15274792407073,150,131.4685590081632
73.58511957460082,153,103.62351367072753
54.97215350978646,140,93.38003874540081
86.614255684627,156,71.06419485286905
76.02120816017992,138,109.74365983248917
44.98933131056329,145,118.06570596918915
86.58078411161608,131,65.24309806099176
84.38114859974415,166,73.28239772472529
50.99827032241396,161,126.5940588187768
43.066248314419525,143,118.66836091358034
74.59964031799804,144,85.76772604679779
31.180198688744785,156,151.8748769790616
35.99265619800867,158,133.99996031860084
20.588981580080443,150,160.8599476810694
82.95395020017108,144,88.98712330720797
73.18806852736257,176,115.57011813612883
76.41323029010681,159,93.68074776744932
82.45832248175743,166,130.38318702840252
