feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,target
0.7739560485559633,0.4388784397520523,0.8585979199113825,0.6973680290593639,0.09417734788764953,0.9756223516367559,0.761139701990353,0.7860643052769538,0.12811363267554587,0.45038593789556713,17.86163770429167
0.37079802423258124,0.9267649888486018,0.6438651200806645,0.82276161327083,0.44341419882733113,0.2272387217847769,0.5545847870158348,0.06381725610417532,0.8276311719925821,0.6316643991220648,19.47890840319405
0.7580877400853738,0.35452596812986836,0.9706980243949033,0.8931211213221977,0.7783834970737619,0.19463870785196757,0.4667210037270342,0.04380376578722878,0.15428949206754783,0.6830489532424546,23.855390133916693
0.7447621559078171,0.96750973243421,0.32582535813815194,0.3704597060348689,0.4695558112758079,0.1894713590842857,0.12992150533547164,0.47570492622593374,0.2269093490508841,0.6698139946825103,15.373694988249087
0.43715191887233074,0.8326781960578374,0.7002651020022491,0.31236664138204107,0.8322598013952011,0.8047643574968019,0.38747837903017446,0.2883281039302441,0.6824955039749755,0.1397524836093098,17.29448240495256
0.19990820247510832,0.007362269751005512,0.7869243775021384,0.6648508565920321,0.7051653786263351,0.7807290310219679,0.45891577553833995,0.5687411959528937,0.13979699812765745,0.11453007353597344,11.929999177363115
0.6684029617904717,0.4710962061431325,0.5652361064811888,0.7649988574160256,0.6347183200005908,0.5535794006579958,0.5592071607454135,0.3039500980626122,0.030817834567939406,0.43671738923236236,19.380771356763038
0.2145846728195292,0.40852864372463615,0.8534030732681661,0.23393948586534075,0.05830274168906602,0.28138389202199654,0.2935937577666836,0.6619165147268951,0.5570321523412783,0.7838982091064135,8.150405994970162
0.6643135403273875,0.4063868614400705,0.8140203846660347,0.1669729199077039,0.022712073133860478,0.09004786077564175,0.7223593505964503,0.4618772302513874,0.1612717790336018,0.5010447751033635,11.744994987171431
0.15231210271316842,0.696320375077736,0.4461562755740307,0.3810212260964825,0.3015120891478765,0.6302825931188885,0.3618126105533904,0.087649919316101,0.11800590212051532,0.9618976645495145,7.864581547950291
