timestamp_idx,sensor_ch1,sensor_ch2,sensor_ch3,sensor_ch4,target
0,57.30471707975443,34.049093088499056,57.04104586388365,16.13318016262651,51.38904120980081
1,57.01039700768838,34.912963024161044,55.040759185949064,17.654262610754298,52.54752539421379
2,59.77087777607471,34.51426855473791,59.0877421230074,16.96496212558557,55.340267661444884
3,60.784977310390104,36.30775341984584,59.90922340070635,18.041250585727465,56.26394897986523
4,58.514882210059824,36.70812078688099,56.8907295170048,17.16780669286201,55.87272661370992
5,59.53948911092697,36.736987968220745,57.489510758359216,17.806807429350087,56.974237360840526
6,61.07233578844004,35.654018129714174,59.743212150732234,18.100759045454893,57.88351708494066
7,60.44894149683616,36.397734898396365,58.603228524860654,19.004935368487704,57.25601273245176
8,60.296310098136445,35.6665428338158,56.77214977478096,18.095157549447535,56.340372229506656
9,58.76256650933119,35.3519759224196,57.21515723046109,18.006052458436603,55.263403470100606
10,59.59551421537226,34.261962475517855,56.18285530288771,17.71504820692564,54.62982174341661
11,58.449003906928866,35.04627067863862,55.166777070709124,16.892399415917076,53.5398314393724
12,56.61281277287815,35.01285803883566,55.49451019328923,17.325218338184698,52.182115773041524
13,56.54077278109021,34.235123766525064,55.163142025931265,16.643227485471577,50.314243677164846
14,54.80968716874312,33.96537731549586,53.970351623916436,17.882327252335557,48.44868173097949
15,52.53934980696855,32.2733840793021,49.81185687621667,17.181872679508164,45.72975626367657
16,53.00832058915671,32.2437575353971,49.32978308329709,18.17616455753489,45.568206874462504
17,51.14959855238141,32.396522491334785,48.132384629839365,15.586624262788895,43.36401768034126
18,52.71127067858348,30.562040485491234,51.15114617679237,16.070547722178233,44.7567282309985
19,51.77217284587565,31.10442949141832,49.77962207809146,17.097405096128924,44.47509538730528
20,51.88239912412576,31.50204604418923,51.01847710578326,15.876715062891325,45.230947324241455
21,51.860390799155695,31.27981834446434,49.28701711119696,15.20410871991921,45.45979530694873
22,54.42375050307046,29.957732671961377,53.747848901063506,15.863006736281339,46.601857437634756
23,53.83620621646796,32.59986609705475,50.37714844161811,15.640908850439713,47.568075480076686
24,54.41610079084803,32.51135237954028,52.83516073085409,15.119844269677767,49.046111530734024
25,55.339883928936366,31.92990464531861,53.63962911681896,15.95059283053496,50.29931881552236
26,56.99554959199871,33.35580507163177,54.152561475804326,16.21101598841977,52.13149875168666
27,57.45809572471762,33.033471766992996,55.45333092825413,15.16592613502095,52.62488753355374
28,57.936834226733744,35.54380631484031,55.085667650326094,16.745464261749927,54.967654898427
29,58.14540470607559,35.76046052408779,55.14611528245107,16.741746220207414,55.01783783786834
30,59.778833774693375,34.68522895620298,59.98611843787207,17.658193451098214,57.10102534726562
31,56.876532459009844,36.15806373508728,53.67047825400744,17.0727048167515,54.227807190525525
32,56.149246056630986,32.19798190276601,54.20722717463798,17.836880409527218,52.407398113456765
33,54.98660783018448,32.76446950576633,50.36120044478267,18.261294386540044,51.459483818180765
34,55.35926564345182,32.75694156198898,52.25529332497122,15.735983402532517,51.10683305897334
35,54.675981788848624,32.357852968929606,52.35234884969888,16.24193452946413,50.20610812895741
36,52.16369908003933,33.3771062594137,48.42257318086974,15.628136079603571,48.4352415451869
37,50.1659485927678,32.89605667262199,48.698764754325914,15.666221420575852,45.620354021391115
38,48.97881464754198,29.158277380117237,46.91334129452802,16.41964745652828,43.00406442589666
39,49.38591699580167,28.717318065257032,49.32230626804109,17.06223874245107,42.21873803733797
40,48.60226321117065,29.819908892128947,46.46879785741364,14.25938699461488,40.72527261254673
41,47.7611893230832,30.450250845502087,45.17800025320489,14.678765862292895,41.412783796581955
42,46.17449029271131,27.678814143817995,44.23130695647138,14.640796344633683,38.23949052529205
43,46.96671965797617,27.903923073472342,45.20304986212822,15.34909920317698,39.0103071291716
44,47.00947353889801,29.637070875436187,46.61909390016296,13.768709320837097,40.478922072234575
45,47.50651013925966,26.884276804795388,43.470568573091974,14.388489836782542,39.78508425911676
46,48.748132914714965,27.47905071807913,45.10428431709988,14.551129768608815,41.14249825984043
47,48.82693811822419,28.909994463660304,46.37652295913757,12.655874277396473,42.69841567311324
48,50.08126702537769,28.879692140650185,48.56307703251824,13.048550843357749,45.33669950454837
49,50.27112193418132,30.69884124542953,48.873935132562586,14.189058484858773,45.91236654660958
50,51.225833177813655,30.35600093636546,49.89630407646317,13.815316084986065,46.883673051424616
51,52.167761916898556,29.315530258974487,50.41400710123178,15.554526630554541,49.10941127345296
52,50.489558624717326,31.712985472459778,49.125128592566995,14.945116385753693,48.922436978507704
53,51.804787918560784,29.831704064945875,51.46929836007787,15.84506840450046,49.317789859772645
54,51.5724411718843,32.10243052468946,49.266826593911254,14.987635438661323,48.97799509793391
55,51.0539450590015,30.441394673981044,50.24336528819359,15.017668621827838,48.735296652164486
56,50.80895936391107,30.123074808919107,49.24869562924419,15.487238750591896,48.410589118467975
57,51.739143900373236,30.918280906990265,49.045880685512316,14.973996666799183,49.15578841456763
58,48.3509284778614,31.65382752609349,46.19696336979629,15.132247141129826,45.405938897396155
59,49.026813235987056,29.369036577865803,47.21729699913256,14.29645476605799,44.93141966233741
60,45.15270161537307,28.067610087684386,42.95780571947931,15.945326821440759,41.52029998997924
61,45.2838269106573,27.52204852116644,45.09931717094967,15.635972020069985,39.51489784250699
62,44.641543900708584,26.34284970505486,40.091666244580246,13.807085894657897,38.63956178422204
63,44.06804773830726,26.97314722969576,40.39117738989892,13.890928188985974,36.880750705277876
64,43.395761861846324,25.301841094665104,40.5296932847003,13.68388569909013,36.33068202154692
65,42.923841868025484,26.394514835142246,40.51489153049111,13.404596864834382,36.04927747307525
66,41.49845455047536,25.10902599736939,39.44900525790344,12.36044045306681,34.950073367067795
67,41.38176044381248,23.872965010076797,38.3001357512166,12.059389215710247,34.09642050832319
68,42.97020284590744,25.40011237547341,40.22200882612657,12.875008358382182,34.650316279440965
69,42.433199155774204,25.975437324885863,39.496654042746414,11.87989830017395,35.58284144678189
70,42.062135850171,24.968738052350204,43.43597670975619,12.193714262042624,36.9973586736227
71,43.06262885105417,26.398224589319454,43.277955122833795,13.051017017581778,38.53752745028041
72,44.21376563868146,25.485055373376706,42.368397315845485,12.192528847772012,39.68413714417842
73,46.57650113337401,26.55394552238562,44.8339232027264,12.934899229101964,42.68584920000057
74,47.10630949556112,28.161031438167285,43.88411402278047,13.045673264742707,43.887080178475955
75,48.411729166655384,27.76805295003378,44.69709732410263,12.607781555530888,44.75066096099385
76,47.86783932829824,29.423946534713174,45.531572356382384,14.604173362120521,45.002743137844675
77,48.800762212209506,28.293941719247165,46.04591558705971,13.185183393457688,46.086301933076406
78,49.36109500869457,28.951146669552735,47.55103470461797,14.380622563178955,47.52234477652408
79,48.256391452803015,30.706771117059414,43.70471427768767,15.10844395665687,45.944568165314514
80,48.599061069119266,28.12136602967186,46.15595752110206,15.039250715597579,46.38477049565547
81,46.830515714426845,27.229212376727965,45.48328642098442,15.402187554777427,44.796414602099745
82,46.296519573166684,29.38705902466562,44.24045139527449,13.590417907085323,43.73494305189439
